,id,lonlat,tags.power,tags.substation,Type,Area,tags.voltage,tags.frequency,Country
121,227093568.0,"[13.26127482921267, -8.836096127581639]",substation,,Way,3800.0,,,angola
122,194073418.0,"[15.870779576413115, -13.452825919223567]",substation,transmission,Way,11030.0,220000,,angola
129,302170343.0,"[13.256139112071542, -8.970567164425475]",substation,transmission,Way,38420.0,220000,,angola
142,696128623.0,"[15.093859967402835, -11.32273189799129]",substation,transmission,Way,64410.0,,,angola
49,856917328.0,"[25.447713621032968, -10.729400333338528]",substation,,Way,4020.0,,,congo-democratic-republic
54,224133687.0,"[27.2841131648842, -10.718238655687717]",substation,transmission,Way,4320.0,120000,,congo-democratic-republic
56,734793385.0,"[27.240706531719134, -11.764839965012062]",substation,,Way,5250.0,132,,congo-democratic-republic
57,563694197.0,"[28.4795136, -12.752913550000018]",substation,,Way,33090.0,,,congo-democratic-republic
62,323275830.0,"[25.455023376319424, -8.887947109054421]",substation,transmission,Way,2490.0,120000,,congo-democratic-republic
64,689060298.0,"[25.239871123022937, -10.811446439111656]",substation,,Way,2360.0,120000,50,congo-democratic-republic
96,217290364.0,"[26.324178737879496, -10.619994789578323]",substation,,Way,5130.0,,,congo-democratic-republic
97,460419488.0,"[18.785288853130904, -5.110878901531172]",substation,,Way,6590.0,,,congo-democratic-republic
49,128182735.0,"[30.913492963561463, 30.465209801165877]",substation,transmission,Way,59910.0,220000,,egypt
54,130440404.0,"[32.546633479611664, 25.31020256331847]",substation,transmission,Way,39740.0,132000,,egypt
56,426596390.0,"[30.104947368472057, 25.385550218751824]",substation,transmission,Way,6480.0,,,egypt
57,97702932.0,"[32.302736914108195, 29.61634113738491]",substation,transmission,Way,89620.0,220000,,egypt
62,499890443.0,"[30.714635064277477, 31.023380677814686]",substation,,Way,11590.0,,,egypt
64,426156914.0,"[31.188705500000097, 29.299135100000022]",substation,,Way,860.0,,,egypt
96,98390022.0,"[33.68312973735502, 31.099433673111196]",substation,transmission,Way,123250.0,220000;66000,,egypt
97,500449337.0,"[30.3017977546283, 30.91579378625725]",substation,,Way,10090.0,,,egypt
121,502109028.0,"[31.22209051076429, 30.170813219548116]",substation,,Way,14650.0,,,egypt
122,127243911.0,"[31.196487308733694, 30.97865296546744]",substation,transmission,Way,28460.0,220000;66000,,egypt
129,501748226.0,"[30.900421317002948, 30.25755468379615]",substation,,Way,30730.0,,,egypt
142,502403977.0,"[31.28817625413214, 29.94373128430915]",substation,,Way,20710.0,,,egypt
145,130435119.0,"[33.06688890116872, 24.459592132663477]",substation,transmission,Way,42540.0,220000;66000,,egypt
147,499061165.0,"[31.6739637789382, 31.42020894372227]",substation,,Way,30180.0,,,egypt
148,502403983.0,"[30.828639200000126, 29.32411710000008]",substation,,Way,890.0,,,egypt
149,426974572.0,"[32.917256503800644, 24.463859304242757]",substation,,Way,1050.0,,,egypt
