,bus_id,station_id,voltage,dc,symbol,under_construction,tag_substation,tag_area,lon,lat,country,geometry
15188,15188,7527,220000,False,False,False,False,False,25.67281930000009,-33.720555,south-africa,
15189,15189,7445,132000,False,False,False,False,False,25.536430199999963,-33.98202730000011,south-africa,
15190,15190,11985,132000,False,False,False,False,False,29.8336619,-28.5675493,south-africa,
15191,15191,13268,132000,False,False,False,False,False,30.681848600000034,-30.279469000000113,south-africa,
15192,15192,5883,132000,False,False,False,False,False,18.839760199999965,-34.089123500000255,south-africa,
15193,15193,7869,132000,False,False,False,False,False,26.189230299999917,-29.133410699999967,south-africa,
15194,15194,11503,400000,False,False,False,False,False,29.35811789999998,-24.04419520000003,south-africa,
15195,15195,9852,275000,False,False,False,False,False,28.115862199999974,-26.3076969,south-africa,
15196,15196,12832,132000,False,False,False,False,False,30.3667663,-29.642824700000276,south-africa,
15197,15197,9297,132000,False,False,False,False,False,27.80027090000001,-26.2144408,south-africa,
15198,15198,10527,132000,False,False,False,False,False,28.489696900000013,-26.283448300000018,south-africa,
15199,15199,11794,132000,False,False,False,False,False,29.6138432,-28.60567129999991,south-africa,
15200,15200,11137,275000,False,False,False,False,False,29.136696700000076,-26.10764239999987,south-africa,
15201,15201,8898,220000,False,False,False,False,False,27.5224189,-32.8838298,south-africa,
15202,15202,6004,132000,False,False,False,False,False,19.614804100000054,-33.60291790000017,south-africa,
15203,15203,12729,132000,False,False,False,False,False,30.31784810000004,-29.70050180000004,south-africa,
15204,15204,7070,132000,False,False,False,False,False,24.611819099999934,-29.061646600000046,south-africa,
15205,15205,7162,132000,False,False,False,False,False,24.814994899999974,-28.7409864,south-africa,
15206,15206,12591,132000,False,False,False,False,False,30.2116308,-29.8841005,south-africa,
15207,15207,12881,400000,False,False,False,False,False,30.390551500000015,-29.731259300000186,south-africa,
15208,15208,6902,132000,False,False,False,False,False,24.066448999999867,-28.261826900000017,south-africa,
15209,15209,6685,132000,False,False,False,False,False,23.0076121,-27.373959800000023,south-africa,
15210,15210,13012,132000,False,False,False,False,False,30.46970470000002,-25.060333100000538,south-africa,
15211,15211,5856,132000,False,False,False,False,False,18.806520399999933,-33.81916939999984,south-africa,
15212,15212,8283,132000,False,False,False,False,False,26.819550099999983,-27.0026274,south-africa,
15213,15213,8910,220000,False,False,False,False,False,27.5239666,-32.8838669,south-africa,
15214,15214,6651,132000,False,False,False,False,False,22.98269689999985,-27.567301400000034,south-africa,
15215,15215,12321,132000,False,False,False,False,False,30.028404800000047,-24.40157499999982,south-africa,
15216,15216,13525,132000,False,False,False,False,False,30.908333499999973,-29.992406500000488,south-africa,
15217,15217,13742,132000,False,False,False,False,False,30.978114,-25.409834900000174,south-africa,
15218,15218,13922,132000,False,False,False,False,False,31.0506365,-29.680257,south-africa,
15219,15219,12789,132000,False,False,False,False,False,30.35621979999996,-29.669524199999962,south-africa,
15220,15220,6272,132000,False,False,False,False,False,20.87189870000004,-33.192948,south-africa,
15221,15221,6271,132000,False,False,False,False,False,20.87189870000004,-33.1930562,south-africa,
15222,15222,6356,400000,False,False,False,False,False,21.501079700000098,-32.695892899999855,south-africa,
15223,15223,11049,132000,False,False,False,False,False,29.10891210000013,-25.83149890000004,south-africa,
15224,15224,12124,132000,False,False,False,False,False,29.9021125,-22.791925299999892,south-africa,
15225,15225,12522,400000,False,False,False,False,False,30.169540200000128,-29.604720500000013,south-africa,
15226,15226,12312,400000,False,False,False,False,False,30.018879599999956,-24.439540199999925,south-africa,
15227,15227,8068,132000,False,False,False,False,False,26.613057099999963,-26.339860500000043,south-africa,
15228,15228,7172,132000,False,False,False,False,False,24.830431600000026,-28.68723979999998,south-africa,
15229,15229,9845,275000,False,False,False,False,False,28.114893299999963,-26.229813200000038,south-africa,
15230,15230,10305,275000,False,False,False,False,False,28.29269760000002,-25.415298899999932,south-africa,
15231,15231,6425,132000,False,False,False,False,False,21.882176500000096,-34.10348760000072,south-africa,
15232,15232,5698,132000,False,False,False,False,False,18.565107700000034,-33.86245490000014,south-africa,
15233,15233,7552,400000,False,False,False,False,False,25.701327200000016,-28.72274840000073,south-africa,
15234,15234,13715,132000,False,False,False,False,False,30.963911,-24.356547499999984,south-africa,
15235,15235,8742,132000,False,False,False,False,False,27.42508089999985,-26.40554600000018,south-africa,
15236,15236,12671,400000,False,False,False,False,False,30.2302042,-25.7514492,south-africa,
15237,15237,5786,132000,False,False,False,False,False,18.704353100000013,-34.0268498999998,south-africa,
15238,15238,5761,132000,False,False,False,False,False,18.690528299999933,-33.947534199999836,south-africa,
15239,15239,9698,132000,False,False,False,False,False,28.064533400000077,-25.516875099999957,south-africa,
15240,15240,11793,132000,False,False,False,False,False,29.6131603999999,-26.01149159999987,south-africa,
15241,15241,7409,132000,False,False,False,False,False,25.52159859999996,-33.83542990000004,south-africa,
15242,15242,11538,765000,False,False,False,False,False,29.39699869999991,-26.8056242,south-africa,
